StudentNumber,Suruna Value,Hurni Level,Lal Count,Volta,Ratios,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104,
1001196,lobi,high,90,2 star,1.068460625,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000531,doot,full,100,5 star,1.32568263,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,10.0,NG,9.0,NG,NG,9.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000699,doot,full,94,1 star,1.30589632,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,10.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000548,doot,full,83,2 star,1.28611001,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000581,doot,full,98,3 star,1.28611001,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,9.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000595,doot,full,78,4 star,1.28611001,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000192,doot,full,83,5 star,1.2663237,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1000624,doot,full,98,1 star,1.2663237,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000876,doot,full,68,4 star,1.2663237,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,8.0,NG,NG,10.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1000096,doot,full,91,3 star,1.2465374,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,10.0,10.0,NG,NG,NG,
1000462,doot,full,61,2 star,1.2465374,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,10.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000628,doot,full,90,2 star,1.2465374,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,10.0,10.0,NG,NG,NG,
1000937,doot,high,89,1 star,1.2465374,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,9.0,NG,NG,8.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
